id,session_id,session_title,name,designation,organization,role,bio,display_order
1,2,Welcome and DNC Highlights,Ms. Sugarika KC,,,host,,1
2,2,Welcome and DNC Highlights,Mr. Razan Lamsal,Chairperson,IFN,speaker,,2
3,4,Welcome Remarks,Prof. Dr. Manish Pokharel,Former Dean,"Kathmandu University (Patron, IFN)",speaker,,1
4,5,Context Setting,Mr. Niraj Bhusal,Computer Officer,"Ministry of Finance, GoN",speaker,,1
5,6,Keynote I,Mr. Sudeep Dhakal,Advisor for Policy,"Administration, and Good Governance to the Rt. Hon. PM Balendra Shah",speaker,,1
6,7,Keynote II,Mr. Julien Chevillard,Deputy Resident Representative,UNDP Nepal,speaker,,1
7,8,Lightning Talk,Mr. Basanta Raj Shrestha,AI Enthusiast and Former Director of Strategic Cooperation,ICIMOD,speaker,,1
8,9,Digital Spark I,Ms. Anjelika Sah,VP of Engineering at Prixa,,presenter,,1
9,9,Digital Spark I,Mr. Ram Prasad Rimal,Chairman,Addressgraph Nepal Pvt. Ltd.,presenter,,2
10,10,Industry Prospective,Mr. Deepen Chapagain,President,NAS-IT,speaker,,1
11,11,Thematic Panel I,Mr. Hempal Shrestha,LegalTech & Knowledge Management Specialist,IFN,facilitator,,1
12,11,Thematic Panel I,Hon. Jagdish Kharel,Former Minister & Member,House of Representative,panelist,,2
13,11,Thematic Panel I,Dr. Dharma Raj Uprety,Chief Executive Officer (CEO),"NDRRMA, GoN",panelist,,3
14,11,Thematic Panel I,Mr. Subhash Dhakal,Joint Secretary,Information Technology and Digital Governance Office GoN (ITDGO),panelist,,4
15,11,Thematic Panel I,Mr. Manohar Bhattarai,ICT Expert,"Former Vice Chairperson, HLCIT",panelist,,5
16,12,Guests' Remarks,Mr. Sunil KC,President,NICCI,speaker,,1
17,12,Guests' Remarks,Embassy  / SAARC,,,speaker,,2
18,12,Guests' Remarks,Mr. Anjan Shrestha,President,FNCCI,speaker,,3
19,12,Guests' Remarks,Mr. Arjun Ghimire,Chairman,Nepal Telecommunications Authority (NTA),speaker,,4
20,13,Chief Guest Remarks,Hon. Dr. Bikram Timalsina,Minister,Ministry of Information & Communication,speaker,,1
21,14,Vote of Thanks,Mr. Ganesh Shah,Former Minister,Ministry of Science Technology & Environment,speaker,,1
22,15,Digital Spark II,Mr. Saroj Bhattarai,Executive Director,CodeX,presenter,,1
23,15,Digital Spark II,Mr. Sojan Prajapati,CBO at Prixa,,presenter,,2
24,15,Digital Spark II,Mr. Chudamani Dhungana,IT Director,ITDGO,presenter,,3
25,16,Lightning Talk,Mr. Manoj Ghimire,Founder,RARA Labs,speaker,,1
26,17,Thematic Panel II,Mr. Ananda Raj Khanal,Chairperson,Nepal Digital Leads,facilitator,,1
27,17,Thematic Panel II,Hon. Arvind Sah,Member,House of Representative,panelist,,2
28,17,Thematic Panel II,Dr. Archana Shrestha,DG,"Nepal Meteorological Department, GoN",panelist,,3
29,17,Thematic Panel II,Mr. Ram Datta Bhatta,Joint Secretary,Information Technology and Digital Governance Office GoN (ITDGO),panelist,,4
30,17,Thematic Panel II,Mr. Santosh Sigdel,Executive Director,Digital Rights Nepal,panelist,,5
31,17,Thematic Panel II,Mr. Bikash Nahata,Executive Director,One Point Financial Services,panelist,,6
32,18,Digital Spark III,Mr. Sambedan Koirala,IEMIS Expert,"ASI Samartha, UK Aid | Adam Smith International",presenter,,1
33,19,Keynote III,Prof. Dr. Bal Krishna Bal,Dean,"School of Engineering, Kathmandu University (KU)",speaker,,1
34,20,Thematic Panel III,Prof. Dr. Sudan Jha,Hon. Member,National Planning Commission (NPC),session_chair,,1
35,20,Thematic Panel III,Dr. Bhoj Raj Ghimire,Acting Dean,Nepal Open University (NoU),facilitator,,2
36,20,Thematic Panel III,Dr. Lekhjung Thapa,Member,House of Representative,panelist,,3
37,20,Thematic Panel III,Mr. Adesh Khadka,Joint Secretary (IT),Office of the Prime Minister & Council of Ministers (OPMCM),panelist,,4
38,20,Thematic Panel III,Mr. Sanjaya Poudel,Chief Advisor,"Hon Minister Mahabir Pun, Ministry of Science Technology & Innovation (MoSTI)",panelist,,5
39,20,Thematic Panel III,Mr. Sambedan Koirala,IEMIS Expert,"ASI Samartha, UK Aid | Adam Smith International",panelist,,6
40,20,Thematic Panel III,Dr. Rosha Pokharel,AI Director,"Country Manager, CloudFactory",panelist,,7
41,21,Digital Spark IV,Dikshya Giri,Sociair Business Development Officer,,presenter,,1
42,21,Digital Spark IV,Mr. Abhi Shrestha,,,presenter,,2
43,22,Keynote IV,Mr. Bal Krishna Joshi,Founder,Xuno | ThamelRemit,speaker,,1
44,23,Strategic Overview,Ms. Tahani Iqbal,Digital Development Specialist,ADB,speaker,,1
45,24,Thematic Panel IV,Mr. Vivek Rana,Digital Enterprise Architect (Patron,IFN),facilitator,,1
46,24,Thematic Panel IV,Ms. Yanki Ukyab,Chief Executive Officer,Investment Board Nepal (IBN),panelist,,2
47,24,Thematic Panel IV,Ms. Tahani Iqbal,Digital Development Specialist,ADB (Virtual),panelist,,3
48,24,Thematic Panel IV,Mr. S. Amer Ahmed,Operations Manager,WorldBank,panelist,,4
49,24,Thematic Panel IV,Maneet Dhungel,Senior Fellow,IIDS,panelist,,5
50,25,Digital Spark V,Mr. Suryodaya Bikram Shahi,CAIS,Founder,presenter,,1
51,25,Digital Spark V,Mr. Suman Lal Pradhan,CEO,SkyIT,presenter,,2
52,29,Vote of Thanks,Prof. Dr. Subarna Shakya,Director,"IT Innovation Center, TU",speaker,,1
