id,title,agenda,description,session_status,start_time,end_time,display_order,is_featured,live_youtube_url
1,Registration Begins,01 | Governance & Resilience,,upcoming,2026-09-20T08:00:00+05:45,,1,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
2,Welcome and DNC Highlights,01 | Governance & Resilience,,upcoming,2026-09-20T09:00:00+05:45,,2,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
3,Digital Nepal: The Journey,01 | Governance & Resilience,Video Documentary,upcoming,2026-09-20T09:15:00+05:45,,3,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
4,Welcome Remarks,01 | Governance & Resilience,,upcoming,2026-09-20T09:20:00+05:45,,4,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
5,Context Setting,01 | Governance & Resilience,"Data From Disaster: Nepal's 2026 Flash Floods: Capturing Human Experiences, Tracing Digital Footprints, Building a Resilient Future",upcoming,2026-09-20T09:25:00+05:45,,5,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
6,Keynote I,01 | Governance & Resilience,Accelerating the Digital Governance and Public Service Reforms,upcoming,2026-09-20T09:35:00+05:45,,6,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
7,Keynote II,01 | Governance & Resilience,"Building Digital Resilience: Driving Digital Governance, Transformation, and Economic Success",upcoming,2026-09-20T09:50:00+05:45,,7,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
8,Lightning Talk,01 | Governance & Resilience,Building Digital Resilience for Climate & Disaster,upcoming,2026-09-20T10:05:00+05:45,,8,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
9,Digital Spark I,01 | Governance & Resilience,TingTing | Kata Ho!,upcoming,2026-09-20T10:15:00+05:45,,9,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
10,Industry Prospective,01 | Governance & Resilience,"Redefining the Governance, Data, and the Digital Economy for Digital Resilience",upcoming,2026-09-20T10:25:00+05:45,,10,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
11,Thematic Panel I,01 | Governance & Resilience,Building the Foundations for Resilient Digital Governance,upcoming,2026-09-20T10:35:00+05:45,,11,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
12,Guests' Remarks,01 | Governance & Resilience,3 mins each,upcoming,2026-09-20T11:45:00+05:45,,12,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
13,Chief Guest Remarks,01 | Governance & Resilience,,upcoming,2026-09-20T12:00:00+05:45,,13,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
14,Vote of Thanks,01 | Governance & Resilience,,upcoming,2026-09-20T12:10:00+05:45,,14,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
15,Digital Spark II,02 | Digital Public Services,Code X School | Third Factor.AI | Nagarik App,upcoming,2026-09-20T13:15:00+05:45,,15,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
16,Lightning Talk,02 | Digital Public Services,From Silos to Seamless Services: Data Exchange and Government Architecture,upcoming,2026-09-20T13:30:00+05:45,,16,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
17,Thematic Panel II,02 | Digital Public Services,Paradigms of Data Governance: Can Nagarik App Become Nepal's Digital Gateway and Disaster Alert Hub?,upcoming,2026-09-20T13:45:00+05:45,,17,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
18,Digital Spark III,03 | AI Sovereignty & Data,Nasa X | NAS-IT | Education Data and Findings,upcoming,2026-09-20T15:00:00+05:45,,18,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
19,Keynote III,03 | AI Sovereignty & Data,DPI and Ethical AI in Governance: Leveraging Frontier Tech as a Strategic Enabler,upcoming,2026-09-20T15:15:00+05:45,,19,FALSE,https://www.youtube.com/live/qXOcFwsHvvU
