documentId,name,photo,bio,designation,organization
ms-sugarika-kc,Ms. Sugarika KC,/images/speakers/Sugarika KC.jpg,,Host,
mr-razan-lamsal,Mr. Razan Lamsal,/images/speakers/Razan Lamsal.jpg,"Mr. Razan Lamsal is a social entrepreneur, Chairperson of ICT Foundation Nepal, and Founder of Living with ICT, with 15 years of experience leading Nepal's digital transformation and innovation ecosystem. He has initiated the ICT Award and platforms including the Digital Nepal Conclave, Nepal AI Summit, Startup & Idea Fest, and Digital Samvad, working to connect government, industry, academia, and youth around Nepal's digital economy.",Chairperson,IFN
prof-dr-manish-pokharel,Prof. Dr. Manish Pokharel,/images/speakers/Prof. Dr. Manish Pokharel.jpg,"Prof. Dr. Manish Pokharel is a Professor of Computer Science and Engineering at Kathmandu University and former Dean of its School of Engineering. With over three decades of experience in the IT sector, his expertise spans Digital Governance, AI, Smart Cities, IoT, Cloud Computing, Big Data, and Software Technology. He holds a PhD in E-Government from Korea Aerospace University and has contributed to national and international digital transformation initiatives, including e-Government planning and ICT policy.",Patron,IFN
mr-niraj-bhusal,Mr. Niraj Bhusal,/images/speakers/Niraj-Bhusal.jpg,"Mr. Niraj Bhusal is a Computer Officer with the Government of Nepal and a practitioner in GovTech, AI governance, data governance, and digital transformation. He has contributed to major government digital initiatives including the Cabinet Automation System, Nagarik App, interoperable government systems, and AI-driven policy applications. Currently working with the Office of the Finance Minister, he supports technology, AI, and digital governance priorities at the national level.",Computer Officer,Government of Nepal
mr-julien-chevillard,Mr. Julien Chevillard,/images/speakers/Julien-Chevillard.jpg,"Julien Chevillard, a French national, is the Deputy Resident Representative for the United Nations Development Programme (UNDP) in Nepal. With over two decades of experience within the United Nations system across Asia and Africa, his expertise encompasses climate finance, environmental governance, digital transformation, and international development policy. Educated at Sorbonne, Kent, and Sciences Po Lille, he leads strategic policy initiatives, public finance innovations, and multi-stakeholder partnerships to advance climate resilience and sustainable development goals.",Deputy Resident Representative,UNDP Nepal
ms-anjelika-sah,Ms. Anjelika Sah,/images/speakers/Anjelika-Sah.jpg,"Ms. Anjelika Sah is VP of Engineering at Prixa Technologies with over 8 years of experience in cloud architecture and IT infrastructure across AWS, Azure, and Google Cloud Platform. As an AWS Solutions Architect, she leads teams in DevSecOps practices, having designed a cloud solution that increased system uptime by 30% and led a team of 15 engineers to reduce deployment time by 40%.",VP of Engineering,Prixa Technologies
mr-deepen-chapagain,Mr. Deepen Chapagain,/images/speakers/Deepen-Chapagain.jpg,"Mr. Deepen Chapagain is the President of NAS-IT, representing Nepal's software and IT services industry. He is actively involved in advancing Nepal's digital economy, IT exports, technology entrepreneurship, and global market opportunities, while working to strengthen collaboration between the technology industry and policymakers.",President,NAS-IT
hon-dharma-raj-kc,Hon. Dharma Raj KC,/images/speakers/Dharma Raj KC.png,,Member,House of Representative
ms-parbati-sunuwar,Ms. Parbati Sunuwar,/images/speakers/parbati.jpeg,,Secretary,"NARMIN (Chairperson, Phikkal Rural Municipality)"
dr-dharam-raj-uprety,Dr. Dharam Raj Uprety,/images/speakers/Dharma Raj Uprety.jpg,"Dr. Dharam Raj Uprety is a climate change adaptation, early warning systems, and disaster risk management (DRM) specialist. Holding a Ph.D. in Sustainable Forest Management from BOKU, Vienna, and a Post-Doc in Landscape Ecology from the Czech University of Life Sciences, he brings over two decades of interdisciplinary experience across international development agencies (including Practical Action and HELVETAS) and government bodies. As Executive Chief of NDRRMA, he directs national disaster preparedness, climate loss-and-damage policies, and recovery frameworks across Nepal.",Chief Executive Officer,"NDRRMA, GoN"
ms-prabha-bogati,Ms. Prabha Bogati,/images/speakers/parbha.jpeg,,Deputy Mayor,"Bidur Municipality, Nepal"
mr-subhash-dhakal,Mr. Subhash Dhakal,/images/speakers/Subhash Dhakal.jpg,"Mr. Subhash Dhakal is a senior government technology professional and Joint Secretary at the Information Technology and Digital Governance Office (ITDGO), Government of Nepal. With extensive experience across the Department of Information Technology, Department of National ID and Civil Registration, and National Planning Commission, his expertise spans digital governance, national identity systems, IT governance, and public-sector digital transformation.",Joint Secretary,"Information Technology and Digital Governance Office, GoN (ITDGO)"
