documentId,role,displayOrder,participant,session
welcome-and-dnc-highlights-1--ms-sugarika-kc,host,1,ms-sugarika-kc,welcome-and-dnc-highlights-1
welcome-and-dnc-highlights-1--mr-razan-lamsal,speaker,2,mr-razan-lamsal,welcome-and-dnc-highlights-1
welcome-remarks-3--prof-dr-manish-pokharel,speaker,1,prof-dr-manish-pokharel,welcome-remarks-3
context-setting-4--mr-niraj-bhusal,speaker,1,mr-niraj-bhusal,context-setting-4
keynote-i-5--mr-julien-chevillard,speaker,1,mr-julien-chevillard,keynote-i-5
digital-spark-i-6--ms-anjelika-sah,presenter,1,ms-anjelika-sah,digital-spark-i-6
industry-prospective-7--mr-deepen-chapagain,speaker,1,mr-deepen-chapagain,industry-prospective-7
thematic-panel-i-8--hon-dharma-raj-kc,panelist,1,hon-dharma-raj-kc,thematic-panel-i-8
thematic-panel-i-8--ms-parbati-sunuwar,panelist,2,ms-parbati-sunuwar,thematic-panel-i-8
thematic-panel-i-8--dr-dharam-raj-uprety,panelist,3,dr-dharam-raj-uprety,thematic-panel-i-8
thematic-panel-i-8--ms-prabha-bogati,panelist,4,ms-prabha-bogati,thematic-panel-i-8
thematic-panel-i-8--mr-subhash-dhakal,panelist,5,mr-subhash-dhakal,thematic-panel-i-8
thematic-panel-i-8--mr-manohar-bhattarai,panelist,6,mr-manohar-bhattarai,thematic-panel-i-8
thematic-panel-i-8--mr-hempal-shrestha,facilitator,7,mr-hempal-shrestha,thematic-panel-i-8
lightning-talk-9--mr-basanta-raj-shrestha,speaker,1,mr-basanta-raj-shrestha,lightning-talk-9
guests-remarks-10--mr-sunil-kc,speaker,1,mr-sunil-kc,guests-remarks-10
guests-remarks-10--embassy-saarc,speaker,2,embassy-saarc,guests-remarks-10
guests-remarks-10--mr-anjan-shrestha,speaker,3,mr-anjan-shrestha,guests-remarks-10
guests-remarks-10--mr-guru-prasad-poudel,speaker,4,mr-guru-prasad-poudel,guests-remarks-10
guests-remarks-10--mr-arjun-ghimire,speaker,5,mr-arjun-ghimire,guests-remarks-10
keynote-ii-11--mr-sudeep-dhakal,speaker,1,mr-sudeep-dhakal,keynote-ii-11
chief-guest-remarks-12--hon-dr-bikram-timalsina,speaker,1,hon-dr-bikram-timalsina,chief-guest-remarks-12
vote-of-thanks-13--mr-ganesh-shah,speaker,1,mr-ganesh-shah,vote-of-thanks-13
digital-spark-ii-14--mr-saroj-bhattarai,presenter,1,mr-saroj-bhattarai,digital-spark-ii-14
digital-spark-ii-14--mr-sojan-prajapati,presenter,2,mr-sojan-prajapati,digital-spark-ii-14
