documentId,title,agenda,description,sessionStatus,startTime,endTime,displayOrder,isFeatured,liveYoutubeUrl
welcome-and-dnc-highlights-1,Welcome and DNC Highlights,01 | Governance & Resilience - Architecting the Digital Foundation,,upcoming,2026-09-20T09:00:00+05:45,,1,FALSE,
digital-nepal-the-journey-2,Digital Nepal: The Journey,01 | Governance & Resilience - Architecting the Digital Foundation,Video Documentary,upcoming,2026-09-20T09:15:00+05:45,,2,FALSE,
welcome-remarks-3,Welcome Remarks,01 | Governance & Resilience - Architecting the Digital Foundation,,upcoming,2026-09-20T09:20:00+05:45,,3,FALSE,
context-setting-4,Context Setting,01 | Governance & Resilience - Architecting the Digital Foundation,"Data From Disaster: Nepal's 2026 Flash Floods: Capturing Human Experiences, Tracing Digital Footprints, Building a Resilient Future",upcoming,2026-09-20T09:25:00+05:45,,4,FALSE,
keynote-i-5,Keynote I,01 | Governance & Resilience - Architecting the Digital Foundation,"Building Digital Resilience: Driving Digital Governance, Transformation, and Economic Success",upcoming,2026-09-20T09:35:00+05:45,,5,FALSE,
digital-spark-i-6,Digital Spark I,01 | Governance & Resilience - Architecting the Digital Foundation,TingTing,upcoming,2026-09-20T09:50:00+05:45,,6,FALSE,
industry-prospective-7,Industry Prospective,01 | Governance & Resilience - Architecting the Digital Foundation,"Redefining the Governance, Data, and the Digital Economy for Digital Resilience",upcoming,2026-09-20T10:10:00+05:45,,7,FALSE,
thematic-panel-i-8,Thematic Panel I,01 | Governance & Resilience - Architecting the Digital Foundation,Building the Foundations for Resilient Digital Governance,upcoming,2026-09-20T10:30:00+05:45,,8,FALSE,
lightning-talk-9,Lightning Talk,01 | Governance & Resilience - Architecting the Digital Foundation,Building Digital Resilience for Climate & Disaster,upcoming,2026-09-20T11:35:00+05:45,,9,FALSE,
guests-remarks-10,Guests' Remarks,01 | Governance & Resilience - Architecting the Digital Foundation,3 mins each,upcoming,2026-09-20T11:45:00+05:45,,10,FALSE,
keynote-ii-11,Keynote II,01 | Governance & Resilience - Architecting the Digital Foundation,Accelerating the Digital Governance and Public Service Reforms,upcoming,2026-09-20T12:00:00+05:45,,11,FALSE,
chief-guest-remarks-12,Chief Guest Remarks,01 | Governance & Resilience - Architecting the Digital Foundation,,upcoming,2026-09-20T12:15:00+05:45,,12,FALSE,
vote-of-thanks-13,Vote of Thanks,01 | Governance & Resilience - Architecting the Digital Foundation,,upcoming,2026-09-20T12:25:00+05:45,,13,FALSE,
digital-spark-ii-14,Digital Spark II,02 | Digital Public Services - The Gateway for Disaster Response,Code X School | Third Factor.AI | Nagarik App,upcoming,2026-09-20T13:15:00+05:45,,14,FALSE,
lightning-talk-15,Lightning Talk,02 | Digital Public Services - The Gateway for Disaster Response,From Silos to Seamless Services: Data Exchange and Government Architecture,upcoming,2026-09-20T13:30:00+05:45,,15,FALSE,
thematic-panel-ii-16,Thematic Panel II,02 | Digital Public Services - The Gateway for Disaster Response,Paradigms of Data Governance: Can Nagarik App Become Nepal's Digital Gateway and Disaster Alert Hub?,upcoming,2026-09-20T13:45:00+05:45,,16,FALSE,
digital-spark-iii-17,Digital Spark III,03 | AI Sovereignty & Data - Intelligence for a Resilient Nation,KATA HO | NAS-IT - IID | Digital Sovereignty & Data Governance in School Education,upcoming,2026-09-20T15:00:00+05:45,,17,FALSE,
keynote-iii-18,Keynote III,03 | AI Sovereignty & Data - Intelligence for a Resilient Nation,DPI and Ethical AI in Governance: Leveraging Frontier Tech as a Strategic Enabler,upcoming,2026-09-20T15:15:00+05:45,,18,FALSE,
thematic-panel-iii-19,Thematic Panel III,03 | AI Sovereignty & Data - Intelligence for a Resilient Nation,"Building Nepal's AI Sovereignty: Infrastructure, Data, Governance",upcoming,2026-09-20T15:30:00+05:45,,19,FALSE,
digital-spark-iv-20,Digital Spark IV,04 | The Digital Economy Engine - Prosperity through Sustainable Innovation,Sociair E-commerce | Lipi One | Everest Cloud,upcoming,2026-09-20T17:00:00+05:45,,20,FALSE,
keynote-iv-21,Keynote IV,04 | The Digital Economy Engine - Prosperity through Sustainable Innovation,Digital Innovation for a Prosperous and Resilient Economy,upcoming,2026-09-20T17:15:00+05:45,,21,FALSE,
strategic-overview-22,Strategic Overview,04 | The Digital Economy Engine - Prosperity through Sustainable Innovation,Virtual Presentation,upcoming,2026-09-20T17:30:00+05:45,,22,FALSE,
thematic-panel-iv-23,Thematic Panel IV,04 | The Digital Economy Engine - Prosperity through Sustainable Innovation,"Unlocking Digital Nepal: Advancing Digital Transparency, Innovation and Digital Economy",upcoming,2026-09-20T17:45:00+05:45,,23,FALSE,
digital-spark-v-24,Digital Spark V,04 | The Digital Economy Engine - Prosperity through Sustainable Innovation,Ancoda Lab | Sky IT,upcoming,2026-09-20T18:45:00+05:45,,24,FALSE,
guest-s-remarks-25,Guest's Remarks,05 | Leadership Dialogue - Digital Roadmap to 2027,"Accelerating Digital Industry, Innovation and Investment",upcoming,2026-09-20T19:00:00+05:45,,25,FALSE,
closing-chief-guest-s-remarks-26,Closing Chief Guest's Remarks,05 | Leadership Dialogue - Digital Roadmap to 2027,Building Digital Resilience: Unlocking Nepal's Tech Industry & Startup Potential,upcoming,2026-09-20T19:10:00+05:45,,26,FALSE,
token-of-appreciation-and-group-photo-27,Token of Appreciation and Group Photo,05 | Leadership Dialogue - Digital Roadmap to 2027,Patrons and Organizing Team.,upcoming,2026-09-20T19:00:00+05:45,,27,FALSE,
vote-of-thanks-28,Vote of Thanks,05 | Leadership Dialogue - Digital Roadmap to 2027,,upcoming,2026-09-20T19:15:00+05:45,,28,FALSE,
